NUMERO,NUMERO_SEQUENCIAL,ANO,TIPO_CONVENCAO_CODIGO,TIPO_CONVENCAO_DESCR,TIPO_CONVENCAO_DESCR_LONG,TIPO_CONVENCAO_ORDEM,NATUREZA_CODIGO,NATUREZA_DESCRICAO,NOMECC,AMBITO_GEOGRAFICO_IRCT,AMBITO_GEOGRAFICO_CODE_IRCT,NUMBTE,DATABTE,SERIEBTE,AMBGEG,DATA_EFEITOS,AREA,DIST,CONC,PROV,CODCAE
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,24
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,25
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,26512
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,30300
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,309
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,31092
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,33150
5933,1,2008,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CCT ENTRE A FENAME ¿ FEDERAÇÃO NACIONAL DO METAL E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,29,2008.08.08 00:00:00,0,E,,1,0,0,1,33170
5933,1,2009,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CCT ENTRE A FENAME - FEDERAÇÃO NACIONAL DO METAL E A FETESE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO,Nacional,1,33,2009.09.08 00:00:00,0,E,2009.04.01 00:00:00,1,0,0,1,31010
5933,1,2009,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CCT ENTRE A FENAME - FEDERAÇÃO NACIONAL DO METAL E A FETESE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO,Nacional,1,33,2009.09.08 00:00:00,0,E,2009.04.01 00:00:00,1,0,0,1,33150
5933,1,2009,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CCT ENTRE A FENAME - FEDERAÇÃO NACIONAL DO METAL E A FETESE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO,Nacional,1,33,2009.09.08 00:00:00,0,E,2009.04.01 00:00:00,1,0,0,1,33170
6421,1,2018,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,"CONTRATO COLETIVO ENTRE A ADCP - ASSOCIAÇAO DAS ADEGAS COOPERATIVAS DE PORTUGAL E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMERCIO; RESTAURAÇAO E TURISMO - SITESE - ALTERAÇAO SALARIAL E OUTRAS/TEXTO CONSOLIDADO 

",Nacional,1,39,2018.10.22 00:00:00,0,E,2018.04.01 00:00:00,1,0,0,1,11030
6422,1,2014,2,CCT,Contrato coletivo de trabalho,1,4,Rev. Global,CONTRATO COLETIVO ENTRE A FAPEL - ASSOCIAÇAO PORTUGUESA DE FABRICANTES DE PAPEL E CARTAO E A COFESINT - CONFEDERAÇAO DE SINDICATOS DA INDUSTRIA; ENERGIA E TRANSPORTES - REVISAO GLOBAL,Nacional,1,28,2014.07.29 00:00:00,0,E,,1,0,0,1,17211
6422,1,2017,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CONTRATO COLETIVO ENTRE A FAPEL - ASSOCIAÇAO PORTUGUESA DE FABRICANTES DE PAPEL E CARTAO E A FEDERAÇAO DE SINDICATOS DA INDUSTRIA; ENERGIA E TRANSPORTES - COFESINT E OUTRA - ALTERAÇAO SALARIAL E OUTRAS E TEXTO CONSOLIDADO,Nacional,1,24,2017.06.29 00:00:00,0,E,,1,0,0,1,17220
6426,1,2016,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A GROQUIFAR - ASSOCIAÇAO DE GROSSISTAS DE PRODUTOS QUIMICOS E FARMACEUTICOS E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS - SITESE  (FARMACEUTICOS) - ALTERAÇAO SALARIAL E OUTRAS.,Nacional,1,19,2016.05.22 00:00:00,0,E,2016.06.01 00:00:00,1,0,0,1,46460
5444,2,2014,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A NORQUIFAR - ASSOCIAÇÃO NACIONAL DOS IMPORTADORES/ARMAZENISTAS E RETALHISTAS DE PRODUTOS QUÍMICOS E FARMACÊUTICOS E A COFESINT - CONFEDERAÇÃO DE SINDICATOS DA INDÚSTRIA; ENERGIA E TRANSPORTES ( PROD.QUÍMICOS) - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,13,2014.04.08 00:00:00,0,E,2014.01.01 00:00:00,1,0,0,1,46180
5444,2,2016,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A NORQUIFAR - ASSOCIAÇAO NACIONAL DOS IMPORTADORES/ARMAZENISTAS E RETALHISTAS DE PRODUTOS QUIMICOS E FARMACEUTICOS E A FEPCES - FEDERAÇAO PORTUGUESA DOS SINDICATOS DO COMERCIO; ESCRITORIOS E SERVIÇOS E OUTRA - ALTERAÇAO SALARIAL E OUTRAS(QUIMICOS),Nacional,1,12,2016.03.29 00:00:00,0,E,2016.01.01 00:00:00,1,0,0,1,46180
5444,2,2017,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CONTRATO COLETIVO ENTRE A NORQUIFAR - ASSOCIAÇAO NACIONAL DOS IMPORTADORES/ARMAZENISTA E RETALHISTAS DE PRODUTOS QUIMICOS E FARMACEUTICOS E A FEPCES - FEDERAÇAO PORTUGUESA DOS SINDICATOS DO COMERCIO; ESCRITORIOS E SERVIÇOS E OUTRA - ALTERAÇAO SALARIAL E OUTRAS ETEXTO CONSOLIDADO,Nacional,1,12,2017.03.29 00:00:00,0,E,2017.01.01 00:00:00,1,0,0,1,46120
5444,3,2012,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A NORQUIFAR ¿ ASSOCIAÇÃO NACIONAL DOS IMPORTADORES/ARMAZENISTAS E RETALHISTAS DE PRODUTOS QUÍMICOS E FARMACÊUTICOS E A FEPCES ¿ FEDERAÇÃO PORTUGUESA DOS SINDICATOS DO COMÉRCIO; ESCRITÓRIOS E SERVIÇOS E OUTROS (PRODUTOS QUÍMICOS) ¿ ALTERAÇÃO.,Nacional,1,30,2012.08.15 00:00:00,0,E,,1,0,0,1,46120
5444,3,2012,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A NORQUIFAR ¿ ASSOCIAÇÃO NACIONAL DOS IMPORTADORES/ARMAZENISTAS E RETALHISTAS DE PRODUTOS QUÍMICOS E FARMACÊUTICOS E A FEPCES ¿ FEDERAÇÃO PORTUGUESA DOS SINDICATOS DO COMÉRCIO; ESCRITÓRIOS E SERVIÇOS E OUTROS (PRODUTOS QUÍMICOS) ¿ ALTERAÇÃO.,Nacional,1,30,2012.08.15 00:00:00,0,E,,1,0,0,1,46460
